# ----------------------------------------
# All Web Site Data
# Channels
# 20200601-20200909
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
Direct,39,36,45,71.11%,1.29,00:00:04,0.00%,0,$0.00
Social,30,28,31,93.55%,1.77,00:02:18,0.00%,0,$0.00
Organic Search,9,8,14,78.57%,1.50,00:00:16,0.00%,0,$0.00
Referral,2,2,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
,80,74,93,80.65%,1.47,00:00:50,0.00%,0,$0.00

Day Index,Users
6/1/20,4
6/2/20,2
6/3/20,4
6/4/20,1
6/5/20,0
6/6/20,2
6/7/20,0
6/8/20,1
6/9/20,2
6/10/20,1
6/11/20,0
6/12/20,1
6/13/20,3
6/14/20,2
6/15/20,2
6/16/20,2
6/17/20,1
6/18/20,1
6/19/20,0
6/20/20,1
6/21/20,0
6/22/20,1
6/23/20,0
6/24/20,0
6/25/20,3
6/26/20,0
6/27/20,1
6/28/20,2
6/29/20,2
6/30/20,9
7/1/20,2
7/2/20,0
7/3/20,0
7/4/20,0
7/5/20,1
7/6/20,1
7/7/20,2
7/8/20,0
7/9/20,3
7/10/20,2
7/11/20,0
7/12/20,0
7/13/20,0
7/14/20,2
7/15/20,0
7/16/20,0
7/17/20,1
7/18/20,0
7/19/20,0
7/20/20,0
7/21/20,0
7/22/20,0
7/23/20,0
7/24/20,0
7/25/20,0
7/26/20,0
7/27/20,0
7/28/20,0
7/29/20,0
7/30/20,0
7/31/20,0
8/1/20,1
8/2/20,0
8/3/20,1
8/4/20,2
8/5/20,0
8/6/20,0
8/7/20,0
8/8/20,0
8/9/20,0
8/10/20,1
8/11/20,0
8/12/20,0
8/13/20,3
8/14/20,1
8/15/20,1
8/16/20,2
8/17/20,2
8/18/20,2
8/19/20,1
8/20/20,2
8/21/20,1
8/22/20,0
8/23/20,1
8/24/20,0
8/25/20,1
8/26/20,0
8/27/20,1
8/28/20,0
8/29/20,0
8/30/20,0
8/31/20,0
9/1/20,0
9/2/20,1
9/3/20,0
9/4/20,1
9/5/20,0
9/6/20,0
9/7/20,0
9/8/20,1
9/9/20,1
,89
